material_no;title;subtitle;body;image;products
001;Coton;{:en}White{:}{:fr}Blanc{:};{:en}100% cotton {:}{:fr}100% coton  {:};https://elementdebase.com/wp-content/uploads/2016/02/large-15.jpg;225,261,299,337,374,413,481,515,548,583,621,659,692,727,765,803,838,873,911,944,977,1010,1048,1086,1125,1164,1666,1679,1701,1749,1762,1787,1991,2013,2141,2148,2177,2701,2779,3074,3096,3117,3135,3157,3175,3198,3220,3238,3260,3282,3307,3333,3359,3385,3411,3431,3457,3477,3503,3525,3547,3568,3589,3607,3629,3647,3670,3692,3710,3732,3754,3779,3805,3831,3857,3883,3903,3929,3949,3975,3997,4019,4040,4061,4079,4101,4119,4142,4164,4182,4204,4226,4251,4277,4303,4329,4355,4375,4401,4421,4447,4469,4491,4512,4533,4551,4573,4591,4614,4636,4654,4676,4698,4723,4749,4775,4801,4827,4847,4873,4893,4919,4941,4963,4984,5005,5023,5045,5063,5086,5108,5126,5148,5170,5195,5221,5247,5273,5299,5319,5345,5365,5391,5413,5435,5456,5477,5495,5517,5535,5558,5580,5598,5620,5642,5667,5693,5719,5745,5771,5791,5817,5837,5863,5885,5907,5928,5949,5967,5989,6007,6030,6052,6070,6092,6114,6139,6165,6191,6217,6243,6263,6289,6309,6335,6357,6379,6400,6421,6439,6461,6479,6502,6524,6542,6564,6586,6611,6637,6663,6689,6715,6735,6761,6781,6807,6829,6851,6872,6893,6911,6933,6951,6974,6996,7014,7036,7058,7083,7109,7135,7161,7187,7207,7233,7253,7279,7301,7323,7344,7365,7383,7405,7423,7446,7468,7486,7508,7530,7555,7581,7607,7633,7659,7679,7705,7725,7751,7773,7795,8240,8253,8266,8279,8292,8305,8318,8331,8344,8357,8370,8383,8396,8409,8422,8435,8448,9161,9172,9183,9194,9289,9364,9575
002;Linen;{:en}Natural{:}{:fr}Naturel{:};{:en}40% viscose|20% linen | 20% polyester |  20% cotton {:}{:fr}40% viscose|  20% lin|  20% polyester|  20% coton  {:};https://elementdebase.com/wp-content/uploads/2016/02/large-16.jpg;227,263,301,339,378,416,450,483,517,550,585,623,661,694,729,767,805,840,875,913,946,979,1012,1050,1088,1127,1166,1665,1678,1700,1722,1748,1761,1786,1990,2012,2140,2159,2176,2700,2778,3075,3097,3118,3136,3158,3176,3199,3221,3239,3261,3283,3308,3334,3360,3386,3412,3432,3458,3478,3504,3526,3548,3569,3590,3608,3630,3648,3671,3693,3711,3733,3755,3780,3806,3832,3858,3884,3904,3930,3950,3976,3998,4020,4041,4062,4080,4102,4120,4143,4165,4183,4205,4227,4252,4278,4304,4330,4356,4376,4402,4422,4448,4470,4492,4513,4534,4552,4574,4592,4615,4637,4655,4677,4699,4724,4750,4776,4802,4828,4848,4874,4894,4920,4942,4964,4985,5006,5024,5046,5064,5087,5109,5127,5149,5171,5196,5222,5248,5274,5300,5320,5346,5366,5392,5414,5436,5457,5478,5496,5518,5536,5559,5581,5599,5621,5643,5668,5694,5720,5746,5772,5792,5818,5838,5864,5886,5908,5929,5950,5968,5990,6008,6031,6053,6071,6093,6115,6140,6166,6192,6218,6244,6264,6290,6310,6336,6358,6380,6401,6422,6440,6462,6480,6503,6525,6543,6565,6587,6612,6638,6664,6690,6716,6736,6762,6782,6808,6830,6852,6873,6894,6912,6934,6952,6975,6997,7015,7037,7059,7084,7110,7136,7162,7188,7208,7234,7254,7280,7302,7324,7345,7366,7384,7406,7424,7447,7469,7487,7509,7531,7556,7582,7608,7634,7660,7680,7706,7726,7752,7774,7796,8022,8239,8252,8265,8278,8291,8304,8317,8330,8343,8356,8369,8382,8395,8408,8421,8434,8447,9160,9171,9182,9193,9288,9363,9574
003;Linen;{:en}Charcoal{:}{:fr}Anthracite{:};{:en}40% viscose|20% linen |20% polyester |20% cotton {:}{:fr}40% viscose | 20% lin | 20% polyester  |20% coton  {:};https://elementdebase.com/wp-content/uploads/2016/02/large-17.jpg;229,265,303,341,380,419,485,519,552,587,625,663,696,731,769,807,842,877,915,948,981,1014,1052,1090,1129,1168,1664,1677,1699,1747,1760,1785,1989,2011,2139,2158,2175,2699,2777,3076,3098,3119,3137,3159,3177,3200,3222,3240,3262,3284,3309,3335,3361,3387,3413,3433,3459,3479,3505,3527,3549,3570,3591,3609,3631,3649,3672,3694,3712,3734,3756,3781,3807,3833,3859,3885,3905,3931,3951,3977,3999,4021,4042,4063,4081,4103,4121,4144,4166,4184,4206,4228,4253,4279,4305,4331,4357,4377,4403,4423,4449,4471,4493,4514,4535,4553,4575,4593,4616,4638,4656,4678,4700,4725,4751,4777,4803,4829,4849,4875,4895,4921,4943,4965,4986,5007,5025,5047,5065,5088,5110,5128,5150,5172,5197,5223,5249,5275,5301,5321,5347,5367,5393,5415,5437,5458,5479,5497,5519,5537,5560,5582,5600,5622,5644,5669,5695,5721,5747,5773,5793,5819,5839,5865,5887,5909,5930,5951,5969,5991,6009,6032,6054,6072,6094,6116,6141,6167,6193,6219,6245,6265,6291,6311,6337,6359,6381,6402,6423,6441,6463,6481,6504,6526,6544,6566,6588,6613,6639,6665,6691,6717,6737,6763,6783,6809,6831,6853,6874,6895,6913,6935,6953,6976,6998,7016,7038,7060,7085,7111,7137,7163,7189,7209,7235,7255,7281,7303,7325,7346,7367,7385,7407,7425,7448,7470,7488,7510,7532,7557,7583,7609,7635,7661,7681,7707,7727,7753,7775,7797,8238,8251,8264,8277,8290,8303,8316,8329,8342,8355,8368,8381,8394,8407,8420,8433,8446,9159,9170,9181,9192,9287,9362,9573
004;Epingle;{:en}Grey{:}{:fr}Gris{:};{:en}76% cotton|24% acrylic {:}{:fr}76% coton|  24% acrylique  {:};https://elementdebase.com/wp-content/uploads/2016/02/large-19.jpg;231,267,305,343,383,421,454,487,521,554,589,627,665,698,733,771,809,844,879,917,950,983,1016,1054,1092,1131,1170,1663,1676,1698,1720,1746,1759,1784,1988,2010,2138,2157,2174,2698,2776,3077,3099,3120,3138,3160,3178,3201,3223,3241,3263,3285,3310,3336,3362,3388,3414,3434,3460,3480,3506,3528,3550,3571,3592,3610,3632,3650,3673,3695,3713,3735,3757,3782,3808,3834,3860,3886,3906,3932,3952,3978,4000,4022,4043,4064,4082,4104,4122,4145,4167,4185,4207,4229,4254,4280,4306,4332,4358,4378,4404,4424,4450,4472,4494,4515,4536,4554,4576,4594,4617,4639,4657,4679,4701,4726,4752,4778,4804,4830,4850,4876,4896,4922,4944,4966,4987,5008,5026,5048,5066,5089,5111,5129,5151,5173,5198,5224,5250,5276,5302,5322,5348,5368,5394,5416,5438,5459,5480,5498,5520,5538,5561,5583,5601,5623,5645,5670,5696,5722,5748,5774,5794,5820,5840,5866,5888,5910,5931,5952,5970,5992,6010,6033,6055,6073,6095,6117,6142,6168,6194,6220,6246,6266,6292,6312,6338,6360,6382,6403,6424,6442,6464,6482,6505,6527,6545,6567,6589,6614,6640,6666,6692,6718,6738,6764,6784,6810,6832,6854,6875,6896,6914,6936,6954,6977,6999,7017,7039,7061,7086,7112,7138,7164,7190,7210,7236,7256,7282,7304,7326,7347,7368,7386,7408,7426,7449,7471,7489,7511,7533,7558,7584,7610,7636,7662,7682,7708,7728,7754,7776,7798,8237,8250,8263,8276,8289,8302,8315,8328,8341,8354,8367,8380,8393,8406,8419,8432,8445,9061,9079,9105,9107,9129,9131,9361,9572,9614,9763
005;Epingle;{:en}Grey{:}{:fr}Gris{:};{:en}76% cotton|24% acrylic {:}{:fr}76% coton|  24% acrylique  {:};https://elementdebase.com/wp-content/uploads/2016/02/large-19.jpg;233,269,308,346,385,423,456,489,523,556,591,629,667,700,735,773,811,846,881,919,952,985,1018,1056,1094,1133,1172,1662,1675,1697,1719,1745,1758,1783,1987,2009,2137,2156,2173,2697,2775,3078,3100,3121,3139,3161,3179,3202,3224,3242,3264,3286,3311,3337,3363,3389,3415,3435,3461,3481,3507,3529,3551,3572,3593,3611,3633,3651,3674,3696,3714,3736,3758,3783,3809,3835,3861,3887,3907,3933,3953,3979,4001,4023,4044,4065,4083,4105,4123,4146,4168,4186,4208,4230,4255,4281,4307,4333,4359,4379,4405,4425,4451,4473,4495,4516,4537,4555,4577,4595,4618,4640,4658,4680,4702,4727,4753,4779,4805,4831,4851,4877,4897,4923,4945,4967,4988,5009,5027,5049,5067,5090,5112,5130,5152,5174,5199,5225,5251,5277,5303,5323,5349,5369,5395,5417,5439,5460,5481,5499,5521,5539,5562,5584,5602,5624,5646,5671,5697,5723,5749,5775,5795,5821,5841,5867,5889,5911,5932,5953,5971,5993,6011,6034,6056,6074,6096,6118,6143,6169,6195,6221,6247,6267,6293,6313,6339,6361,6383,6404,6425,6443,6465,6483,6506,6528,6546,6568,6590,6615,6641,6667,6693,6719,6739,6765,6785,6811,6833,6855,6876,6897,6915,6937,6955,6978,7000,7018,7040,7062,7087,7113,7139,7165,7191,7211,7237,7257,7283,7305,7327,7348,7369,7387,7409,7427,7450,7472,7490,7512,7534,7559,7585,7611,7637,7663,7683,7709,7729,7755,7777,7799,8078,8236,8249,8262,8275,8288,8301,8314,8327,8340,8353,8366,8379,8392,8405,8418,8431,8444,9063,9078,9158,9169,9180,9191,9286,9360,9571,9762
006;Flannel;{:en}Charcoal{:}{:fr}Anthracite{:};{:en}2% SPA|88% polyester |10% viscose {:}{:fr}2% SPA|  88% polyester | 10% viscose  {:};https://elementdebase.com/wp-content/uploads/2016/02/large-20.jpg;235,271,310,348,387,425,458,491,525,558,593,631,669,702,737,775,813,848,883,921,954,987,1020,1058,1096,1135,1174,1661,1674,1696,1718,1744,1757,1782,1986,2008,2136,2155,2172,2696,2774,3079,3101,3122,3140,3162,3180,3203,3225,3243,3265,3287,3312,3338,3364,3390,3416,3436,3462,3482,3508,3530,3552,3573,3594,3612,3634,3652,3675,3697,3715,3737,3759,3784,3810,3836,3862,3888,3908,3934,3954,3980,4002,4024,4045,4066,4084,4106,4124,4147,4169,4187,4209,4231,4256,4282,4308,4334,4360,4380,4406,4426,4452,4474,4496,4517,4538,4556,4578,4596,4619,4641,4659,4681,4703,4728,4754,4780,4806,4832,4852,4878,4898,4924,4946,4968,4989,5010,5028,5050,5068,5091,5113,5131,5153,5175,5200,5226,5252,5278,5304,5324,5350,5370,5396,5418,5440,5461,5482,5500,5522,5540,5563,5585,5603,5625,5647,5672,5698,5724,5750,5776,5796,5822,5842,5868,5890,5912,5933,5954,5972,5994,6012,6035,6057,6075,6097,6119,6144,6170,6196,6222,6248,6268,6294,6314,6340,6362,6384,6405,6426,6444,6466,6484,6507,6529,6547,6569,6591,6616,6642,6668,6694,6720,6740,6766,6786,6812,6834,6856,6877,6898,6916,6938,6956,6979,7001,7019,7041,7063,7088,7114,7140,7166,7192,7212,7238,7258,7284,7306,7328,7349,7370,7388,7410,7428,7451,7473,7491,7513,7535,7560,7586,7612,7638,7664,7684,7710,7730,7756,7778,7800,8021,8235,8248,8261,8274,8287,8300,8313,8326,8339,8352,8365,8378,8391,8404,8417,8430,8443,9065,9077,9157,9168,9179,9190,9359,9570,9761
007;Canevas;{:en}Deep Red{:}{:fr}Bourgogne{:};{:en}70% cotton|30% linen {:}{:fr}70% coton|  30% lin  {:};https://elementdebase.com/wp-content/uploads/2016/02/large-21.jpg;237,273,312,350,389,427,460,493,527,560,595,633,671,704,739,777,815,850,885,923,956,989,1022,1060,1660,1673,1743,1756,1781,1985,2007,2135,2154,2171,2695,2773,3080,3102,3123,3141,3163,3181,3204,3226,3244,3266,3288,3313,3339,3365,3391,3417,3437,3463,3483,3509,3531,3553,3574,3595,3613,3635,3653,3676,3698,3716,3738,3760,3785,3811,3837,3863,3889,3909,3935,3955,3981,4003,4025,4046,4067,4085,4107,4125,4148,4170,4188,4210,4232,4257,4283,4309,4335,4361,4381,4407,4427,4453,4475,4497,4518,4539,4557,4579,4597,4620,4642,4660,4682,4704,4729,4755,4781,4807,4833,4853,4879,4899,4925,4947,4969,4990,5011,5029,5051,5069,5092,5114,5132,5154,5176,5201,5227,5253,5279,5305,5325,5351,5371,5397,5419,5441,5462,5483,5501,5523,5541,5564,5586,5604,5626,5648,5673,5699,5725,5751,5777,5797,5823,5843,5869,5891,5913,5934,5955,5973,5995,6013,6036,6058,6076,6098,6120,6145,6171,6197,6223,6249,6269,6295,6315,6341,6363,6385,6406,6427,6445,6467,6485,6508,6530,6548,6570,6592,6617,6643,6669,6695,6721,6741,6767,6787,6813,6835,6857,6878,6899,6917,6939,6957,6980,7002,7020,7042,7064,7089,7115,7141,7167,7193,7213,7239,7259,7285,7307,7329,7350,7371,7389,7411,7429,7452,7474,7492,7514,7536,7561,7587,7613,7639,7665,7685,7711,7731,7757,7779,7801,8013,8234,8247,8260,8273,8286,8299,8312,8325,8338,8351,8364,8377,8390,8403,8416,8429,8442,9156,9167,9285,9358,9569
008;Canevas;{:en}Yellow{:}{:fr}Jaune{:};{:en}70% cotton|30% linen {:}{:fr}70% coton|  30% lin  {:};https://elementdebase.com/wp-content/uploads/2016/02/large-22.jpg;239,275,314,352,391,429,462,495,529,562,597,635,673,706,741,779,817,852,887,925,958,991,1024,1062,1101,1659,1672,1694,1716,1742,1755,1780,1984,2006,2134,2153,2170,2694,2772,3081,3103,3124,3142,3164,3182,3205,3227,3245,3267,3289,3314,3340,3366,3392,3418,3438,3464,3484,3510,3532,3554,3575,3596,3614,3636,3654,3677,3699,3717,3739,3761,3786,3812,3838,3864,3890,3910,3936,3956,3982,4004,4026,4047,4068,4086,4108,4126,4149,4171,4189,4211,4233,4258,4284,4310,4336,4362,4382,4408,4428,4454,4476,4498,4519,4540,4558,4580,4598,4621,4643,4661,4683,4705,4730,4756,4782,4808,4834,4854,4880,4900,4926,4948,4970,4991,5012,5030,5052,5070,5093,5115,5133,5155,5177,5202,5228,5254,5280,5306,5326,5352,5372,5398,5420,5442,5463,5484,5502,5524,5542,5565,5587,5605,5627,5649,5674,5700,5726,5752,5778,5798,5824,5844,5870,5892,5914,5935,5956,5974,5996,6014,6037,6059,6077,6099,6121,6146,6172,6198,6224,6250,6270,6296,6316,6342,6364,6386,6407,6428,6446,6468,6486,6509,6531,6549,6571,6593,6618,6644,6670,6696,6722,6742,6768,6788,6814,6836,6858,6879,6900,6918,6940,6958,6981,7003,7021,7043,7065,7090,7116,7142,7168,7194,7214,7240,7260,7286,7308,7330,7351,7372,7390,7412,7430,7453,7475,7493,7515,7537,7562,7588,7614,7640,7666,7686,7712,7732,7758,7780,7802,8233,8246,8259,8272,8285,8298,8311,8324,8337,8350,8363,8376,8389,8402,8415,8428,8441,9155,9166,9177,9188,9284,9357,9568
009;Velvet;{:en}Olive{:}{:fr}Olive{:};{:en}89% cotton|11% polyester {:}{:fr}89% coton|  11% polyester  {:};https://elementdebase.com/wp-content/uploads/2016/02/large-23.jpg;241,277,317,354,393,431,464,497,531,564,599,637,675,708,743,781,819,854,889,927,960,993,1026,1064,1103,1142,1181,1658,1671,1693,1715,1741,1754,1779,1983,2005,2133,2152,2169,2693,2771,3082,3104,3125,3143,3165,3183,3206,3228,3246,3268,3290,3315,3341,3367,3393,3419,3439,3465,3485,3511,3533,3555,3576,3597,3615,3637,3655,3678,3700,3718,3740,3762,3787,3813,3839,3865,3891,3911,3937,3957,3983,4005,4027,4048,4069,4087,4109,4127,4150,4172,4190,4212,4234,4259,4285,4311,4337,4363,4383,4409,4429,4455,4477,4499,4520,4541,4559,4581,4599,4622,4644,4662,4684,4706,4731,4757,4783,4809,4835,4855,4881,4901,4927,4949,4971,4992,5013,5031,5053,5071,5094,5116,5134,5156,5178,5203,5229,5255,5281,5307,5327,5353,5373,5399,5421,5443,5464,5485,5503,5525,5543,5566,5588,5606,5628,5650,5675,5701,5727,5753,5779,5799,5825,5845,5871,5893,5915,5936,5957,5975,5997,6015,6038,6060,6078,6100,6122,6147,6173,6199,6225,6251,6271,6297,6317,6343,6365,6387,6408,6429,6447,6469,6487,6510,6532,6550,6572,6594,6619,6645,6671,6697,6723,6743,6769,6789,6815,6837,6859,6880,6901,6919,6941,6959,6982,7004,7022,7044,7066,7091,7117,7143,7169,7195,7215,7241,7261,7287,7309,7331,7352,7373,7391,7413,7431,7454,7476,7494,7516,7538,7563,7589,7615,7641,7667,7687,7713,7733,7759,7781,7803,8232,8245,8258,8271,8284,8297,8310,8323,8336,8349,8362,8375,8388,8401,8414,8427,8440,9154,9165,9176,9187,9356,9567
010;Canevas;{:en}Mossy{:}{:fr}Menthe{:};{:en}70% cotton|30% linen {:}{:fr}70% coton|  30% lin  {:};https://elementdebase.com/wp-content/uploads/2016/02/large-24.jpg;243,279,319,356,396,433,466,499,533,566,601,639,677,710,745,783,822,856,891,929,962,995,1028,1066,1105,1144,1183,1657,1670,1692,1714,1740,1753,1778,1982,2004,2132,2151,2168,2692,2770,3083,3105,3126,3144,3166,3184,3207,3229,3247,3269,3291,3316,3342,3368,3394,3420,3440,3466,3486,3512,3534,3556,3577,3598,3616,3638,3656,3679,3701,3719,3741,3763,3788,3814,3840,3866,3892,3912,3938,3958,3984,4006,4028,4049,4070,4088,4110,4128,4151,4173,4191,4213,4235,4260,4286,4312,4338,4364,4384,4410,4430,4456,4478,4500,4521,4542,4560,4582,4600,4623,4645,4663,4685,4707,4732,4758,4784,4810,4836,4856,4882,4902,4928,4950,4972,4993,5014,5032,5054,5072,5095,5117,5135,5157,5179,5204,5230,5256,5282,5308,5328,5354,5374,5400,5422,5444,5465,5486,5504,5526,5544,5567,5589,5607,5629,5651,5676,5702,5728,5754,5780,5800,5826,5846,5872,5894,5916,5937,5958,5976,5998,6016,6039,6061,6079,6101,6123,6148,6174,6200,6226,6252,6272,6298,6318,6344,6366,6388,6409,6430,6448,6470,6488,6511,6533,6551,6573,6595,6620,6646,6672,6698,6724,6744,6770,6790,6816,6838,6860,6881,6902,6920,6942,6960,6983,7005,7023,7045,7067,7092,7118,7144,7170,7196,7216,7242,7262,7288,7310,7332,7353,7374,7392,7414,7432,7455,7477,7495,7517,7539,7564,7590,7616,7642,7668,7688,7714,7734,7760,7782,7804,8231,8244,8257,8270,8283,8296,8309,8322,8335,8348,8361,8374,8387,8400,8413,8426,8439,9153,9164,9175,9186,9283,9355,9566
