ID	post_author	post_date	post_date_gmt	post_content	post_title	post_excerpt	post_status	comment_status	ping_status	post_password	post_name	to_ping	pinged	post_modified	post_modified_gmt	post_content_filtered	post_parent	guid	menu_order	post_type	post_mime_type	comment_count	meta_keys	meta_values	term_taxnonomies	term_values
35343	1	2016-02-23 21:41:33	2016-02-23 21:41:33	{:en}The strength of simple lines. Thin arms and soft cushions characterize the Atrium sofa. With its pure and rigorous rectangular volume, the shape is enduring. A touch of timelessness at home. {:}{:fr}La force de la ligne. Un superbe volume composé de lignes pures, simples et rigoureuses à la fois. Un seul coussin pour le dossier, un seul pour le siège et le réconfort de deux traversins en bout de ligne. Que du caractère. Et aussi une beauté intemporelle.{:}	atrium		publish	open	closed		atrium_armxxx08ea0293			2016-02-23 21:41:33	2016-02-23 21:41:33		0	https://badb0x.akr.club/product/atrium_armxxx08ea0293/	20	product		0	_visibility||_visibility||_visibility||_thumbnail_id||_thumbnail_id||_thumbnail_id||_regular_price||_regular_price||_regular_price||_product_image_gallery||_product_image_gallery||_product_image_gallery||_product_attributes||_product_attributes||_product_attributes||_price||_price||_price	visible||visible||visible||35344||35344||35344||350.00||350.00||350.00||35345,35346,35347,35348,35349,35350,35351||35345,35346,35347,35348,35349,35350,35351||35345,35346,35347,35348,35349,35350,35351||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||350.00||350.00||350.00	product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class	variable||armchairs||furniture||variable||armchairs||furniture||variable||armchairs||furniture||variable||armchairs||furniture||variable||armchairs||furniture||variable||armchairs||furniture
35376	1	2016-02-23 21:42:23	2016-02-23 21:42:23	{:en}Lorem ipsum...{:}{:fr}Lorem ipsum...{:}	mixmix		publish	open	closed		mixmix_modxxx0912029d			2016-02-23 21:42:23	2016-02-23 21:42:23		0	https://badb0x.akr.club/product/mixmix_modxxx0912029d/	25	product		0	_visibility||_visibility||_visibility||_thumbnail_id||_thumbnail_id||_thumbnail_id||_subtitle||_subtitle||_subtitle||_regular_price||_regular_price||_regular_price||_product_image_gallery||_product_image_gallery||_product_image_gallery||_product_attributes||_product_attributes||_product_attributes||_price||_price||_price	visible||visible||visible||35377||35377||35377||{:en}corner{:}{:fr}corner{:}||{:en}corner{:}{:fr}corner{:}||{:en}corner{:}{:fr}corner{:}||350.00||350.00||350.00||35378,35379,35380,35381,35382,35383,35384,35385,35386,35387,35388,35389||35378,35379,35380,35381,35382,35383,35384,35385,35386,35387,35388,35389||35378,35379,35380,35381,35382,35383,35384,35385,35386,35387,35388,35389||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||350.00||350.00||350.00	product_type||product_shipping_class||product_cat||product_type||product_shipping_class||product_cat||product_type||product_shipping_class||product_cat||product_type||product_shipping_class||product_cat||product_type||product_shipping_class||product_cat||product_type||product_shipping_class||product_cat||product_type||product_shipping_class||product_cat	variable||furniture||modular||variable||furniture||modular||variable||furniture||modular||variable||furniture||modular||variable||furniture||modular||variable||furniture||modular||variable||furniture||modular
35414	1	2016-02-23 21:43:19	2016-02-23 21:43:19	{:en}Lorem ipsum...{:}{:fr}Lorem ipsum...{:}	taxi		publish	open	closed		taxi_3stxxx045001b7			2016-02-23 21:43:19	2016-02-23 21:43:19		0	https://badb0x.akr.club/product/taxi_3stxxx045001b7/	6	product		0	_visibility||_visibility||_visibility||_thumbnail_id||_thumbnail_id||_thumbnail_id||_regular_price||_regular_price||_regular_price||_product_image_gallery||_product_image_gallery||_product_image_gallery||_product_attributes||_product_attributes||_product_attributes||_price||_price||_price	visible||visible||visible||35415||35415||35415||350.00||350.00||350.00||35416,35417,35418,35419,35420,35421||35416,35417,35418,35419,35420,35421||35416,35417,35418,35419,35420,35421||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||350.00||350.00||350.00	product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class	variable||3-seater||furniture||variable||3-seater||furniture||variable||3-seater||furniture||variable||3-seater||furniture||variable||3-seater||furniture||variable||3-seater||furniture
35446	1	2016-02-23 21:44:09	2016-02-23 21:44:09	{:en}Lorem ipsum...{:}{:fr}Lorem ipsum...{:}	pique		publish	open	closed		pique_lftxxx067b0225			2016-02-23 21:44:09	2016-02-23 21:44:09		0	https://badb0x.akr.club/product/pique_lftxxx067b0225/	14	product		0	_visibility||_visibility||_visibility||_thumbnail_id||_thumbnail_id||_thumbnail_id||_regular_price||_regular_price||_regular_price||_product_image_gallery||_product_image_gallery||_product_image_gallery||_product_attributes||_product_attributes||_product_attributes||_price||_price||_price	visible||visible||visible||35447||35447||35447||350.00||350.00||350.00||35448,35449,35450,35451,35452,35453,35454||35448,35449,35450,35451,35452,35453,35454||35448,35449,35450,35451,35452,35453,35454||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||350.00||350.00||350.00	product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class	variable||left-facing||furniture||variable||left-facing||furniture||variable||left-facing||furniture||variable||left-facing||furniture||variable||left-facing||furniture||variable||left-facing||furniture
35479	1	2016-02-23 21:45:00	2016-02-23 21:45:00	{:en}Lorem ipsum...{:}{:fr}Lorem ipsum...{:}	teatime		publish	open	closed		teatime_sobxxx0bc002ea			2016-02-23 21:45:00	2016-02-23 21:45:00		0	https://badb0x.akr.club/product/teatime_sobxxx0bc002ea/	9	product		0	_visibility||_visibility||_visibility||_visibility||_thumbnail_id||_thumbnail_id||_thumbnail_id||_thumbnail_id||_regular_price||_regular_price||_regular_price||_regular_price||_product_image_gallery||_product_image_gallery||_product_image_gallery||_product_image_gallery||_product_attributes||_product_attributes||_product_attributes||_product_attributes||_price||_price||_price||_price	visible||visible||visible||visible||35480||35480||35480||35480||350.00||350.00||350.00||350.00||35481,35482,35483,35484,35485,35486,35487,35488||35481,35482,35483,35484,35485,35486,35487,35488||35481,35482,35483,35484,35485,35486,35487,35488||35481,35482,35483,35484,35485,35486,35487,35488||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visi	product_type||product_cat||product_cat||product_shipping_class||product_type||product_cat||product_cat||product_shipping_class||product_type||product_cat||product_cat||product_shipping_class||product_type||product_cat||product_cat||product_shipping_class||product_type||product_cat||product_cat||product_shipping_class||product_type||product_cat||product_cat||product_shipping_class	variable||sofas||sofa-beds||furniture||variable||sofas||sofa-beds||furniture||variable||sofas||sofa-beds||furniture||variable||sofas||sofa-beds||furniture||variable||sofas||sofa-beds||furniture||variable||sofas||sofa-beds||furniture
35513	1	2016-02-23 21:45:51	2016-02-23 21:45:51	{:en}Lorem ipsum...{:}{:fr}Lorem ipsum...{:}	maritime-natural		publish	open	closed		maritime_natural_armxxx372e067d			2016-02-23 21:45:51	2016-02-23 21:45:51		0	https://badb0x.akr.club/product/maritime_natural_armxxx372e067d/	19	product		0	_visibility||_visibility||_visibility||_thumbnail_id||_thumbnail_id||_thumbnail_id||_regular_price||_regular_price||_regular_price||_product_image_gallery||_product_image_gallery||_product_image_gallery||_product_attributes||_product_attributes||_product_attributes||_price||_price||_price	visible||visible||visible||35514||35514||35514||350.00||350.00||350.00||35515,35516,35517,35518,35519,35520,35521,35522||35515,35516,35517,35518,35519,35520,35521,35522||35515,35516,35517,35518,35519,35520,35521,35522||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||350.00||350.00||350.00	product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class	variable||armchairs||furniture||variable||armchairs||furniture||variable||armchairs||furniture||variable||armchairs||furniture||variable||armchairs||furniture||variable||armchairs||furniture
35547	1	2016-02-23 21:46:40	2016-02-23 21:46:40	{:en}Lorem ipsum...{:}{:fr}Lorem ipsum...{:}	mixmix		publish	open	closed		mixmix_modxxx0912029d-2			2016-02-23 21:46:40	2016-02-23 21:46:40		0	https://badb0x.akr.club/product/mixmix_modxxx0912029d-2/	26	product		0	_visibility||_visibility||_visibility||_thumbnail_id||_thumbnail_id||_thumbnail_id||_subtitle||_subtitle||_subtitle||_regular_price||_regular_price||_regular_price||_product_image_gallery||_product_image_gallery||_product_image_gallery||_product_attributes||_product_attributes||_product_attributes||_price||_price||_price	visible||visible||visible||35548||35548||35548||{:en}single{:}{:fr}single{:}||{:en}single{:}{:fr}single{:}||{:en}single{:}{:fr}single{:}||350.00||350.00||350.00||35549,35550,35551,35552,35553,35554,35555,35556,35557,35558||35549,35550,35551,35552,35553,35554,35555,35556,35557,35558||35549,35550,35551,35552,35553,35554,35555,35556,35557,35558||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||350.00||350.00||350.00	product_type||product_shipping_class||product_cat||product_type||product_shipping_class||product_cat||product_type||product_shipping_class||product_cat||product_type||product_shipping_class||product_cat||product_type||product_shipping_class||product_cat||product_type||product_shipping_class||product_cat||product_type||product_shipping_class||product_cat	variable||furniture||modular||variable||furniture||modular||variable||furniture||modular||variable||furniture||modular||variable||furniture||modular||variable||furniture||modular||variable||furniture||modular
35583	1	2016-02-23 21:47:33	2016-02-23 21:47:33	{:en}Mid-century revival. Inspired by shapes and volumes from the 50's, the Duo sofa-bed features long slender wooden tapered legs and quilted seat and backrest. Turn this sofa into a sleeping pad in a single motion.{:}{:fr}Mid-century revival. Inspired by shapes and volumes from the 50's, the Duo sofa-bed features long slender wooden tapered legs and quilted seat and backrest. Turn this sofa into a sleeping pad in a single motion.{:}	duo		publish	open	closed		duo_sobxxx02880149			2016-02-23 21:47:33	2016-02-23 21:47:33		0	https://badb0x.akr.club/product/duo_sobxxx02880149/	10	product		0	_visibility||_visibility||_visibility||_visibility||_thumbnail_id||_thumbnail_id||_thumbnail_id||_thumbnail_id||_regular_price||_regular_price||_regular_price||_regular_price||_product_image_gallery||_product_image_gallery||_product_image_gallery||_product_image_gallery||_product_attributes||_product_attributes||_product_attributes||_product_attributes||_price||_price||_price||_price	visible||visible||visible||visible||35584||35584||35584||35584||350.00||350.00||350.00||350.00||35585,35586,35587,35588,35589,35590,35591,35592||35585,35586,35587,35588,35589,35590,35591,35592||35585,35586,35587,35588,35589,35590,35591,35592||35585,35586,35587,35588,35589,35590,35591,35592||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visi	product_type||product_cat||product_cat||product_shipping_class||product_type||product_cat||product_cat||product_shipping_class||product_type||product_cat||product_cat||product_shipping_class||product_type||product_cat||product_cat||product_shipping_class||product_type||product_cat||product_cat||product_shipping_class||product_type||product_cat||product_cat||product_shipping_class	variable||sofas||sofa-beds||furniture||variable||sofas||sofa-beds||furniture||variable||sofas||sofa-beds||furniture||variable||sofas||sofa-beds||furniture||variable||sofas||sofa-beds||furniture||variable||sofas||sofa-beds||furniture
35617	1	2016-02-23 21:48:23	2016-02-23 21:48:23	{:en}Lorem ipsum...{:}{:fr}Lorem ipsum...{:}	tamtam-blue		publish	open	closed		tamtam_blue_tabxxx1a77045a			2016-02-23 21:48:23	2016-02-23 21:48:23		0	https://badb0x.akr.club/product/tamtam_blue_tabxxx1a77045a/	34	product		0	_visibility||_visibility||_visibility||_thumbnail_id||_thumbnail_id||_thumbnail_id||_regular_price||_regular_price||_regular_price||_product_image_gallery||_product_image_gallery||_product_image_gallery||_product_attributes||_product_attributes||_product_attributes||_price||_price||_price	visible||visible||visible||35618||35618||35618||350.00||350.00||350.00||35619,35620,35621,35622||35619,35620,35621,35622||35619,35620,35621,35622||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:3:"055";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:3:"055";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:3:"055";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||350.00||350.00||350.00	product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class	variable||side-tables||furniture||variable||side-tables||furniture||variable||side-tables||furniture||variable||side-tables||furniture||variable||side-tables||furniture||variable||side-tables||furniture
35625	1	2016-02-23 21:48:33	2016-02-23 21:48:33	{:en}Lorem ipsum...{:}{:fr}Lorem ipsum...{:}	pique		publish	open	closed		pique_rgtxxx067b0225			2016-02-23 21:48:33	2016-02-23 21:48:33		0	https://badb0x.akr.club/product/pique_rgtxxx067b0225/	18	product		0	_visibility||_visibility||_visibility||_thumbnail_id||_thumbnail_id||_thumbnail_id||_regular_price||_regular_price||_regular_price||_product_image_gallery||_product_image_gallery||_product_image_gallery||_product_attributes||_product_attributes||_product_attributes||_price||_price||_price	visible||visible||visible||35626||35626||35626||350.00||350.00||350.00||35627,35628,35629,35630,35631,35632,35633||35627,35628,35629,35630,35631,35632,35633||35627,35628,35629,35630,35631,35632,35633||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||a:1:{s:12:"edb_material";a:5:{s:4:"name";s:12:"edb_material";s:5:"value";s:47:"001|002|003|004|005|006|007|008|009|010|011|012";s:10:"is_visible";i:1;s:12:"is_variation";i:1;s:8:"taxonomy";i:1;}}||350.00||350.00||350.00	product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class||product_type||product_cat||product_shipping_class	variable||right-facing||furniture||variable||right-facing||furniture||variable||right-facing||furniture||variable||right-facing||furniture||variable||right-facing||furniture||variable||right-facing||furniture
