category,subcategory,price,product_id,materials,featured_image,product_link,images,name
slipcovers,armchairs,149,505,001|002|003|004|005|006|007|008|009|010|011|012,https://elementdebase.com/wp-content/uploads/2016/02/armchair_maritime_000.jpg,https://elementdebase.com/product/maritime_armxxx0f1a0359/,https://elementdebase.com/wp-content/uploads/2016/02/armchair_maritime_000.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_maritime_0000_001.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_maritime_0001_002.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_maritime_0002_003.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_maritime_0000_white-001.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_maritime_0001_white-002.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_maritime_0002_004.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_maritime_0002_005.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_maritime_0002_006.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_maritime_0002_007.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_maritime_0002_008.jpg,maritime-natural
slipcovers,armchairs,124,472,001|002|003|004|005|006|007|008|009|010|011|012,https://elementdebase.com/wp-content/uploads/2016/02/atrium_0000_000.jpg,https://elementdebase.com/product/atrium_armxxx08ea0293/,https://elementdebase.com/wp-content/uploads/2016/02/atrium_0000_000.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_atrium_0000_001.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_atrium_0001_002.jpg|https://elementdebase.com/wp-content/uploads/2016/02/atrium_0000_003.jpg|https://elementdebase.com/wp-content/uploads/2016/02/atrium_0001_004.jpg|https://elementdebase.com/wp-content/uploads/2016/02/atrium_0002_005.jpg|https://elementdebase.com/wp-content/uploads/2016/02/atrium_0003_006.jpg|https://elementdebase.com/wp-content/uploads/2016/02/atrium_0004_007.jpg,atrium
slipcovers,armchairs,113,439,001|002|003|004|005|006|007|008|009|010|011|012,https://elementdebase.com/wp-content/uploads/2016/02/ping_0000_000.jpg,https://elementdebase.com/product/ping_armxxx044201af/,https://elementdebase.com/wp-content/uploads/2016/02/ping_0000_000.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_ping_0000_001-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_ping_0001_002-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_ping_0002_003.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_ping_0000_001.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_ping_0001_002.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_ping_0003_004.jpg|https://elementdebase.com/wp-content/uploads/2016/02/ping_0000_005.jpg|https://elementdebase.com/wp-content/uploads/2016/02/ping_0001_006.jpg|https://elementdebase.com/wp-content/uploads/2016/02/ping_0002_007.jpg|https://elementdebase.com/wp-content/uploads/2016/02/ping_0003_008.jpg,ping
slipcovers,armchairs,49,402,001|002|003|004|005|006|007|008|009|010|011|012,https://elementdebase.com/wp-content/uploads/2016/02/swivel_0000_000.jpg,https://elementdebase.com/product/swivel_armxxx0947029b/,https://elementdebase.com/wp-content/uploads/2016/02/swivel_0000_000.jpg|https://elementdebase.com/wp-content/uploads/2016/02/swivel_0000_001.jpg|https://elementdebase.com/wp-content/uploads/2016/02/swivel_0001_002.jpg|https://elementdebase.com/wp-content/uploads/2016/02/swivel_0002_003.jpg|https://elementdebase.com/wp-content/uploads/2016/02/swivel_0003_004.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_swivel_0000_001.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_swivel_0001_002.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_swivel_0002_003.jpg|https://elementdebase.com/wp-content/uploads/2016/02/swivel_0000_004.jpg|https://elementdebase.com/wp-content/uploads/2016/02/swivel_0001_005.jpg|https://elementdebase.com/wp-content/uploads/2016/02/swivel_0002_006.jpg|https://elementdebase.com/wp-content/uploads/2016/02/swivel_0003_007.jpg|https://elementdebase.com/wp-content/uploads/2016/02/swivel_0004_008.jpg,swivel
slipcovers,armchairs,124,363,001|002|003|004|005|006|007|008|009|010|011|012,https://elementdebase.com/wp-content/uploads/2016/02/slope_0000_000.jpg,https://elementdebase.com/product/slope_armxxx06860224/,https://elementdebase.com/wp-content/uploads/2016/02/slope_0000_000.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_slope_0000_white-001.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_slope_0001_white-002.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_slope_0002_white-003.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_slope_0000_001.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_slope_0001_002.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_slope_0002_003.jpg|https://elementdebase.com/wp-content/uploads/2016/02/slope_0000_004.jpg|https://elementdebase.com/wp-content/uploads/2016/02/slope_0001_005.jpg|https://elementdebase.com/wp-content/uploads/2016/02/slope_0002_006.jpg|https://elementdebase.com/wp-content/uploads/2016/02/slope_0003_007.jpg,slope
slipcovers,armchairs,162,327,001|002|003|004|005|006|007|008|009|010|011|012,https://elementdebase.com/wp-content/uploads/2016/02/armchair_taxi_000.jpg,https://elementdebase.com/product/taxi_armxxx045001b7/,https://elementdebase.com/wp-content/uploads/2016/02/armchair_taxi_000.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_taxi_0000_001.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_taxi_0001_002.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_taxi_0002_003.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_taxi_0000_004.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_taxi_0001_005.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_taxi_0002_006.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_taxi_0003_007.jpg|https://elementdebase.com/wp-content/uploads/2016/02/armchair_taxi_0004_008.jpg,taxi
slipcovers,left-facing,495,1750,001|002|003|004|005|006|007|008|009|010|011|012,https://elementdebase.com/wp-content/uploads/2016/03/pique_small_left_0000_000.jpg,https://elementdebase.com/product/pique_lftxxx067b0225-2/,https://elementdebase.com/wp-content/uploads/2016/03/pique_small_left_0000_000.jpg|https://elementdebase.com/wp-content/uploads/2016/03/pique_small_left_0000_001.jpg|https://elementdebase.com/wp-content/uploads/2016/03/pique_small_left_0001_002.jpg|https://elementdebase.com/wp-content/uploads/2016/03/pique_small_left_0002_003.jpg|https://elementdebase.com/wp-content/uploads/2016/03/pique_small_left_0003_004-1.jpg|https://elementdebase.com/wp-content/uploads/2016/03/pique_small_left_0004_005-1.jpg|https://elementdebase.com/wp-content/uploads/2016/03/pique_small_left_0005_006-1.jpg|https://elementdebase.com/wp-content/uploads/2016/03/pique_small_left_0006_007-1.jpg,pique-small
slipcovers,right-facing,495,1775,001|002|003|004|005|006|007|008|009|010|011|012,https://elementdebase.com/wp-content/uploads/2016/03/pique_small_right_0000_000.jpg,https://elementdebase.com/product/pique_rgtxxx067b0225-2/,https://elementdebase.com/wp-content/uploads/2016/03/pique_small_right_0000_000.jpg|https://elementdebase.com/wp-content/uploads/2016/03/pique_small_right_0000_001.jpg|https://elementdebase.com/wp-content/uploads/2016/03/pique_small_right_0001_002.jpg|https://elementdebase.com/wp-content/uploads/2016/03/pique_small_right_0002_003.jpg|https://elementdebase.com/wp-content/uploads/2016/03/pique_small_right_0003_004.jpg|https://elementdebase.com/wp-content/uploads/2016/03/pique_small_right_0004_005.jpg|https://elementdebase.com/wp-content/uploads/2016/03/pique_small_right_0005_006.jpg|https://elementdebase.com/wp-content/uploads/2016/03/pique_small_right_0006_007.jpg,pique-small
slipcovers,left-facing,563,789,001|002|003|004|005|006|007|008|009|010|011|012,https://elementdebase.com/wp-content/uploads/2016/02/panorama_left_000-13.jpg,https://elementdebase.com/product/panorama_lftxxx0f140350/,https://elementdebase.com/wp-content/uploads/2016/02/panorama_left_000-13.jpg|https://elementdebase.com/wp-content/uploads/2016/02/panorama_left_0000_001-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/panorama_left_0001_002-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/panorama_left_0002_003-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/panorama_left_0003_004-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/panorama_left_0004_005-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/panorama_left_0005_006-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/panorama_left_0006_007-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/panorama_left_0000_008-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/panorama_left_0001_009-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/panorama_left_0002_010-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/panorama_left_0003_011-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/panorama_left_0004_012-1.jpg,panorama
slipcovers,left-facing,349,751,001|002|003|004|005|006|007|008|009|010|011|012,https://elementdebase.com/wp-content/uploads/2016/02/flex_000-13.jpg,https://elementdebase.com/product/flex_lftxxx042201b0/,https://elementdebase.com/wp-content/uploads/2016/02/flex_000-13.jpg|https://elementdebase.com/wp-content/uploads/2016/02/flex_0000_001-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/flex_0001_002-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/flex_0002_003-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/flex_0003_004-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/flex_0004_005-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/flex_0005_006-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/flex_0006_007-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/flex_0000_008-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/flex_0001_009-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/flex_0002_010-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/flex_0003_011-1.jpg|https://elementdebase.com/wp-content/uploads/2016/02/flex_0004_012-1.jpg,flex
